base_currency,datetime,rate
AZN,2009-1,1.244287
AZN,2008-12,1.243277
AZN,2008-11,1.2362799999999998
AZN,2008-10,1.234599
AZN,2008-9,1.231623
AZN,2008-8,1.230727
AZN,2008-7,1.2380639999999998
AZN,2008-6,1.223926
AZN,2008-5,1.210268
AZN,2008-4,1.204833
AZN,2008-3,1.1911770000000002
AZN,2008-2,1.184581
AZN,2008-1,1.182947
AZN,2007-12,1.181968
AZN,2007-11,1.1792129999999998
AZN,2007-10,1.150054
AZN,2007-9,1.09427
AZN,2007-8,1.09427
AZN,2007-7,1.09427
AZN,2007-6,1.09427
AZN,2007-5,1.09427
AZN,2007-4,1.09427
AZN,2007-3,1.09427
AZN,2007-2,1.09427
AZN,2007-1,1.09427
AZN,2006-12,1.09427
AZN,2006-11,1.09427
AZN,2006-10,1.09427
AZN,2006-9,1.09427
AZN,2006-8,1.09427
AZN,2006-7,1.09427
AZN,2006-6,1.09427
AZN,2006-5,1.09427
AZN,2006-4,1.094159
AZN,2006-3,1.088472
AZN,2006-2,1.08544
BDT,2017-12,0.012086
BDT,2017-11,0.012048
BDT,2017-10,0.012165
BDT,2017-9,0.012255
BDT,2017-8,0.01235
BDT,2017-7,0.012373
BDT,2017-6,0.012396
BDT,2017-5,0.012332
BDT,2017-4,0.012261
BDT,2017-3,0.012487
BDT,2017-2,0.012518
BDT,2017-1,0.012623
BDT,2016-12,0.012602
BDT,2016-11,0.01267
BDT,2016-10,0.012758
BDT,2016-9,0.012746
BDT,2016-8,0.012746
BDT,2016-7,0.012746
BDT,2016-6,0.012742
BDT,2016-5,0.012732
BDT,2016-4,0.012765
BDT,2016-3,0.012773
BDT,2016-2,0.012736
BDT,2016-1,0.012747
BDT,2015-12,0.012796
BDT,2015-11,0.01284
BDT,2015-10,0.012838
BDT,2015-9,0.012852
BDT,2015-8,0.012851
BDT,2015-7,0.012854
BDT,2015-6,0.012866999999999998
BDT,2015-5,0.01285
BDT,2015-4,0.01287
BDT,2015-3,0.012847999999999998
BDT,2015-2,0.012849
BDT,2015-1,0.012838999999999998
BDT,2014-12,0.012899
BDT,2014-11,0.01294
BDT,2014-10,0.012922
BDT,2014-9,0.012905000000000002
BDT,2014-8,0.012896
BDT,2014-7,0.012883000000000002
BDT,2014-6,0.01289
BDT,2014-5,0.012886000000000002
BDT,2014-4,0.01287
BDT,2014-3,0.012872
BDT,2014-2,0.012887
BDT,2014-1,0.012872
BDT,2013-12,0.012876
BDT,2013-11,0.012878
BDT,2013-10,0.012892
BDT,2013-9,0.012892
BDT,2013-8,0.012868
BDT,2013-7,0.012854
BDT,2013-6,0.012842
BDT,2013-5,0.01283
BDT,2013-4,0.012815
