country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,2082.585,1724.697,1529.784,1647.645,1901.348,2192.693,2307.357,2430.95,2567.096,2770.522,2990.347,3432.625,3778.259,4328.042,4944.11,5788.621,6124.74,6025.587,6568.292,7286.867,8002.44,8525.998,9210.544,9602.013,10053.446,10747.053,11481.282
Germany,22900.884,23086.566,24115.209,25013.041,25639.474,26562.358,27346.472,28286.856,29839.56,31054.076,31516.57,31925.268,33070.322,34484.464,36995.357,39347.374,40560.936,38730.093,40850.663,43249.191,44266.073,45127.186,46627.525,47429.656,48532.45,50425.15,52801.105
Ghana,1392.332,1441.647,1487.514,1543.424,1603.658,1667.526,1720.766,1779.011,1840.423,1912.214,1979.286,2071.739,2191.431,2334.986,2493.417,2604.462,2826.286,2911.292,3100.406,3518.967,3819.202,4060.869,4191.446,4289.747,4393.865,4729.487,5013.169
Greece,14844.901,14863.56,15396.534,15977.451,16652.058,17628.451,18403.03,19160.964,20312.401,21513.206,22591.306,24315.555,26189.59,27120.823,29440.855,31125.186,31558.084,30337.521,28961.801,26850.252,25433.138,25194.264,26017.86,26389.706,26844.695,27737.027,29057.698
Grenada,4908.03,4871.028,5010.064,5182.549,5479.02,5827.926,6574.647,7131.916,7650.118,7648.796,8013.421,8922.683,9083.757,10590.265,10448.385,11347.303,11640.944,10915.174,10952.038,11220.933,11252.152,11655.43,12688.008,13598.437,14222.832,14925.602,15752.532
Guatemala,3740.929,3868.437,3995.146,4161.297,4258.438,4409.146,4559.056,4693.151,4808.643,4920.47,5068.518,5176.753,5359.669,5581.99,5926.823,6324.924,6515.037,6456.226,6578.25,6844.486,7026.178,7249.283,7529.387,7765.742,7944.68,8144.844,8429.322
Guinea,915.89,929.547,937.651,960.692,989.353,1032.699,1061.382,1100.015,1134.057,1182.165,1241.318,1259.758,1299.97,1353.622,1397.56,1490.451,1541.556,1489.163,1530.1,1607.17,1689.732,1739.904,1791.238,1828.43,1926.318,2040.592,2154.085
Guinea-Bissau,974.281,997.586,1025.933,1065.617,1101.35,1161.828,928.407,1053.544,1150.075,1099.169,1030.902,1039.504,1148.51,1242.268,1279.176,1326.996,1366.01,1391.087,1461.925,1578.024,1545.563,1586.752,1595.704,1675.073,1755.488,1844.779,1947.614
Guyana,2318.21,2561.59,2826.223,3014.334,3299.914,3544.573,3507.536,3652.669,3675.583,3838.312,3942.333,3997.79,4174.173,4222.895,4566.554,5003.734,5188.824,5380.155,5668.825,6076.222,6469.089,6889.558,7253.98,7533.232,7874.427,8161.201,8616.013
Haiti,1319.835,1258.792,1112.348,1224.431,1274.632,1307.557,1326.705,1359.481,1378.723,1372.302,1367.527,1377.726,1344.474,1390.816,1443.051,1507.27,1526.173,1561.365,1471.597,1562.287,1614.06,1686.409,1741.262,1758.343,1783.831,1814.652,1870.442
